word	score
dissed	-0.3
dissemble	-0.3
dissembler	-0.3
dissension	-0.3
dissent	-0.3
dissenter	-0.3
dissention	-0.3
disservice	-0.3
disses	-0.3
dissidence	-0.3
dissident	-0.3
dissidents	-0.3
dissing	-0.3
dissocial	-0.3
dissolute	-0.3
dissolution	-0.3
dissonance	-0.3
dissonant	-0.3
dissonantly	-0.3
dissuade	-0.3
dissuasive	-0.3
distains	-0.3
distaste	-0.3
distasteful	-0.3
distastefully	-0.3
distort	-0.3
distorted	-0.3
distortion	-0.3
distorts	-0.3
distract	-0.3
distracting	-0.3
distraction	-0.3
distraught	-0.3
distraughtly	-0.3
distraughtness	-0.3
distress	-0.3
distressed	-0.3
distressing	-0.3
distressingly	-0.3
distrust	-0.3
distrustful	-0.3
distrusting	-0.3
disturb	-0.3
disturbance	-0.3
disturbed	-0.3
disturbing	-0.3
disturbingly	-0.3
disunity	-0.3
disvalue	-0.3
divergent	-0.3
divisive	-0.3
divisively	-0.3
divisiveness	-0.3
dizzing	-0.3
dizzingly	-0.3
dizzy	-0.3
doddering	-0.3
dodgey	-0.3
dogged	-0.3
doggedly	-0.3
dogmatic	-0.3
doldrums	-0.3
domineer	-0.3
domineering	-0.3
donside	-0.3
doom	-0.3
doomed	-0.3
doomsday	-0.3
dope	-0.3
doubt	-0.3
doubtful	-0.3
doubtfully	-0.3
doubts	-0.3
douchbag	-0.3
douchebag	-0.3
douchebags	-0.3
downbeat	-0.3
downcast	-0.3
downer	-0.3
downfall	-0.3
downfallen	-0.3
downgrade	-0.3
downhearted	-0.3
downheartedly	-0.3
downhill	-0.3
downside	-0.3
downsides	-0.3
downturn	-0.3
downturns	-0.3
drab	-0.3
draconian	-0.3
draconic	-0.3
drag	-0.3
dragged	-0.3
dragging	-0.3
dragoon	-0.3
drags	-0.3
drain	-0.3
drained	-0.3
draining	-0.3
drains	-0.3
drastic	-0.3
drastically	-0.3
drawback	-0.3
drawbacks	-0.3
dread	-0.3
dreadful	-0.3
dreadfully	-0.3
dreadfulness	-0.3
dreary	-0.3
dripped	-0.3
dripping	-0.3
drippy	-0.3
drips	-0.3
drones	-0.3
droop	-0.3
droops	-0.3
drop-out	-0.3
drop-outs	-0.3
dropout	-0.3
dropouts	-0.3
drought	-0.3
drowning	-0.3
drunk	-0.3
drunkard	-0.3
drunken	-0.3
dubious	-0.3
dubiously	-0.3
dubitable	-0.3
dud	-0.3
dull	-0.3
dullard	-0.3
dumb	-0.3
dumbfound	-0.3
dump	-0.3
dumped	-0.3
dumping	-0.3
dumps	-0.3
dunce	-0.3
dungeon	-0.3
dungeons	-0.3
dupe	-0.3
dust	-0.3
dusty	-0.3
dwindling	-0.3
dying	-0.3
earsplitting	-0.3
eccentric	-0.3
eccentricity	-0.3
effigy	-0.3
effrontery	-0.3
egocentric	-0.3
egomania	-0.3
egotism	-0.3
egotistical	-0.3
egotistically	-0.3
egregious	-0.3
egregiously	-0.3
election-rigger	-0.3
elimination	-0.3
emaciated	-0.3
emasculate	-0.3
embarrass	-0.3
embarrassing	-0.3
embarrassingly	-0.3
embarrassment	-0.3
embattled	-0.3
embroil	-0.3
embroiled	-0.3
embroilment	-0.3
emergency	-0.3
emphatic	-0.3
emphatically	-0.3
emptiness	-0.3
encroach	-0.3
encroachment	-0.3
endanger	-0.3
enemies	-0.3
enemy	-0.3
enervate	-0.3
enfeeble	-0.3
enflame	-0.3
engulf	-0.3
enjoin	-0.3
enmity	-0.3
